session,run,stimActFirst,block,stimActBlock,trialNumber,stimOnset,yellowOnLeftSide,leftCanBePushed                ,winAmtLeft,winAmtRight,winAmtYellow,winAmtBlue,winAmtPushable,winAmtPullable,RT,actUsrResp                ,invalResp,yellowChosen,leftChosen,pushed,endOfMoveTime,decFBjitOnset                ,FBOnset,yellowCorrect,pushCorrect,correctChoice,wonAmount                ,totalAmount,ITIOnset
1,1,Act,Act,1,2,0.039,1,0,36,64,36,64,64,36,2.903,r,0,0,0,1,4.098,4.098,10.226,1,0,0,0,0,11.443
1,1,Act,Act,1,3,14.846,1,1,6,94,6,94,6,94,2.43,r,0,0,0,0,18.407,18.407,25.41,1,1,0,0,0,26.611
1,1,Act,Act,1,4,31.598,0,0,92,8,8,92,8,92,2.463,l,0,0,1,0,35.199,35.199,37.228,0,0,1,92,92,38.445
1,1,Act,Act,1,5,43.23,0,1,85,15,15,85,85,15,2.265,l,0,0,1,1,46.564,46.564,47.579,1,0,0,0,92,48.795
1,1,Act,Act,1,6,55.643,1,0,29,71,29,71,71,29,1.703,r,0,0,0,1,58.419,58.419,62.346,1,0,0,0,92,63.546
1,1,Act,Act,1,7,66.753,0,1,15,85,85,15,15,85,1.81,r,0,1,0,0,69.633,69.633,73.281,1,0,1,85,177,74.481
1,1,Act,Act,1,8,78.278,0,1,32,68,68,32,32,68,2.119,r,0,1,0,0,81.477,81.477,86.432,0,1,0,0,177,87.648
1,1,Act,Act,1,9,92.052,1,0,80,20,80,20,20,80,1.78,l,0,1,1,0,94.913,94.913,96.799,1,0,1,80,257,98.016
1,1,Act,Act,1,10,104,1,0,22,78,22,78,78,22,1.649,r,0,0,0,1,106.738,106.738,112.433,0,1,1,78,335,113.65
1,1,Act,Act,1,11,117.895,1,1,56,44,56,44,56,44,nan,nan,nan,nan,nan,nan,nan,120.901,123.234,0,0,nan,0,335,124.451
1,1,Act,Act,1,12,129.723,0,0,10,90,90,10,90,10,0.977,r,0,1,0,1,131.787,131.788,133.385,1,1,1,90,425,134.585
1,1,Act,Act,1,13,137.621,0,0,18,82,82,18,82,18,1.13,r,0,1,0,1,139.839,139.839,145.086,1,1,1,82,507,146.286
1,1,Act,Act,1,14,153.035,1,0,78,22,78,22,22,78,1.218,l,0,1,1,0,155.337,155.337,156.786,1,0,1,78,585,157.986
1,1,Act,Act,1,15,160.731,1,0,41,59,41,59,59,41,1.055,r,0,0,0,1,162.872,162.873,166.654,1,0,0,0,585,167.871
1,1,Act,Act,1,16,175.191,0,1,13,87,87,13,13,87,1.163,r,0,1,0,0,177.441,177.441,182.838,0,1,0,0,585,184.038
1,1,Act,Act,1,17,190.511,1,0,39,61,39,61,61,39,1.194,r,0,0,0,1,192.806,192.806,198.79,0,1,1,61,646,200.006
1,1,Act,Act,1,18,204.57,1,1,27,73,27,73,27,73,1.037,r,0,0,0,0,206.701,206.701,210.924,0,0,1,73,719,212.124
1,1,Act,Act,1,19,219.185,1,1,75,25,75,25,75,25,1.405,l,1,nan,0,nan,nan,220.591,223.941,1,1,0,0,719,225.158
1,1,Act,Act,1,20,230.729,1,1,54,46,54,46,54,46,1.096,r,0,0,0,0,232.923,232.923,235.109,0,0,1,46,765,236.325
1,1,Act,Act,1,21,238.212,1,0,18,82,18,82,82,18,1.431,r,0,0,0,1,240.744,240.744,247.61,0,1,1,82,847,248.826
1,1,Act,Act,1,22,252.954,1,0,94,6,94,6,6,94,1.222,l,0,1,1,0,255.276,255.276,258.044,1,0,1,94,941,259.26
1,1,Act,Act,1,23,265.127,0,0,56,44,44,56,44,56,1.317,l,0,0,1,0,267.551,267.551,272.361,1,1,0,0,941,273.562
1,1,Act,Act,1,24,277.54,0,1,99,1,1,99,99,1,1.138,l,0,0,1,1,279.779,279.779,281.512,1,0,0,0,941,282.712
1,1,Act,Act,1,25,284.452,1,1,73,27,73,27,73,27,1.66,l,0,1,1,1,287.217,287.218,292.33,1,1,1,73,1014,293.546
1,1,Act,Act,1,26,299.732,1,0,25,75,25,75,75,25,1.414,l,0,1,1,0,302.25,302.251,306.914,0,1,0,0,1014,308.131
1,1,Act,Act,1,27,309.437,0,0,39,61,61,39,61,39,1.443,r,0,1,0,1,311.999,311.999,318.565,1,1,1,61,1075,319.781
1,1,Act,Act,1,28,326.127,0,0,54,46,46,54,46,54,1.521,l,0,0,1,0,328.758,328.758,331.966,1,1,0,0,1075,333.183
1,1,Act,Act,1,29,338.339,1,0,3,97,3,97,97,3,1.094,r,0,0,0,1,340.544,340.544,343.45,0,1,1,97,1172,344.667
1,1,Act,Act,1,30,351.874,0,1,34,66,66,34,34,66,1.36,r,0,1,0,0,354.338,354.338,358.851,1,0,1,66,1238,360.051
