session	run	stimActFirst	block	stimActBlock	trialNumber	stimOnset	yellowOnLeftSide	leftCanBePushed                	winAmtLeft	winAmtRight	winAmtYellow	winAmtBlue	winAmtPushable	winAmtPullable	RT	actUsrResp                	invalResp	yellowChosen	leftChosen	pushed	endOfMoveTime	decFBjitOnset                	FBOnset	yellowCorrect	pushCorrect	correctChoice	wonAmount                	totalAmount	ITIOnset
02	2	Stim	Act	1	2	0.039	0	1	23	77	77	23	23	77	1.160	r	1	nan	0	nan	nan	1.200	4.550	0	1	0	0	0	5.767
02	2	Stim	Act	1	3	9.052	1	0	19	81	19	81	81	19	0.732	r	1	nan	0	nan	nan	9.784	15.617	0	1	0	0	0	16.817
02	2	Stim	Act	1	4	21.653	1	1	31	69	31	69	31	69	0.815	r	0	0	0	0	23.588	23.589	26.068	1	1	0	0	0	27.268
02	2	Stim	Act	1	5	31.128	0	0	47	53	53	47	53	47	1.073	l	1	nan	0	nan	nan	32.202	35.985	1	1	0	0	0	37.202
02	2	Stim	Act	1	6	39.754	1	1	16	84	16	84	16	84	0.998	r	0	0	0	0	41.859	41.859	46.519	0	0	1	84	84	47.736
02	2	Stim	Act	1	7	50.414	1	0	5	95	5	95	95	5	0.755	r	1	nan	0	nan	nan	51.170	56.854	0	1	0	0	84	58.070
02	2	Stim	Act	1	8	62.405	1	1	45	55	45	55	45	55	1.248	r	0	0	0	0	64.701	64.701	66.888	1	1	0	0	84	68.088
02	2	Stim	Act	1	9	75.372	0	1	79	21	21	79	79	21	0.833	l	0	0	1	1	77.340	77.340	78.939	1	0	0	0	84	80.155
02	2	Stim	Act	1	10	84.251	1	0	79	21	79	21	21	79	0.887	l	0	1	1	0	86.294	86.294	91.540	0	1	0	0	84	92.756
02	2	Stim	Act	1	11	94.484	0	1	91	9	9	91	91	9	0.872	l	0	0	1	1	96.538	96.539	100.623	1	0	0	0	84	101.824
02	2	Stim	Act	1	12	106.985	1	1	84	16	84	16	84	16	0.838	l	1	nan	0	nan	nan	107.824	109.858	1	1	0	0	84	111.074
02	2	Stim	Act	1	13	116.359	1	0	60	40	60	40	40	60	0.765	l	1	nan	0	nan	nan	117.125	118.858	1	0	0	0	84	120.075
02	2	Stim	Act	1	14	123.887	1	1	93	7	93	7	93	7	0.554	l	1	nan	0	nan	nan	124.442	131.009	0	0	0	0	84	132.226
02	2	Stim	Act	1	15	138.431	0	1	5	95	95	5	5	95	0.695	r	0	1	0	0	140.281	140.282	144.210	0	1	0	0	84	145.427
02	2	Stim	Act	1	16	151.918	1	1	58	42	58	42	58	42	0.875	l	0	1	1	1	153.954	153.955	155.844	0	0	0	0	84	157.044
02	2	Stim	Act	1	17	160.412	1	0	7	93	7	93	93	7	0.933	r	1	nan	0	nan	nan	161.345	164.395	0	1	0	0	84	165.611
02	2	Stim	Act	1	18	172.249	0	1	53	47	47	53	53	47	0.913	r	1	nan	0	nan	nan	173.162	178.262	1	0	0	0	84	179.479
02	2	Stim	Act	1	19	185.538	0	1	65	35	35	65	65	35	0.759	r	0	1	0	0	187.460	187.460	194.464	1	0	1	35	119	195.681
02	2	Stim	Act	1	20	198.823	0	0	51	49	49	51	49	51	0.841	r	1	nan	0	nan	nan	199.664	202.581	0	0	0	0	119	203.781
02	2	Stim	Act	1	21	206.284	1	0	2	98	2	98	98	2	0.830	r	0	0	0	1	208.280	208.281	210.598	0	1	1	98	217	211.798
02	2	Stim	Act	1	22	217.701	1	1	67	33	67	33	67	33	0.931	r	0	0	0	0	219.798	219.798	220.799	0	0	1	33	250	222.016
02	2	Stim	Act	1	23	226.724	0	1	38	62	62	38	38	62	0.925	r	0	1	0	0	228.820	228.820	233.783	1	0	1	62	312	235.000
02	2	Stim	Act	1	24	238.708	0	0	45	55	55	45	55	45	0.825	r	1	nan	0	nan	nan	239.534	245.818	1	1	0	0	312	247.034
02	2	Stim	Act	1	25	249.199	1	1	33	67	33	67	33	67	0.602	r	0	0	0	0	250.931	250.931	255.452	0	0	1	67	379	256.668
02	2	Stim	Act	1	26	262.138	1	0	26	74	26	74	74	26	0.780	r	1	nan	0	nan	nan	262.919	266.569	0	1	0	0	379	267.785
02	2	Stim	Act	1	27	273.402	0	1	26	74	74	26	26	74	0.668	r	0	1	0	0	275.237	275.237	276.686	1	0	1	74	453	277.903
02	2	Stim	Act	1	28	282.172	0	1	28	72	72	28	28	72	0.731	r	0	1	0	0	284.090	284.091	290.071	1	0	1	72	525	291.287
02	2	Stim	Act	1	29	294.582	1	0	86	14	86	14	14	86	0.572	r	1	nan	0	nan	nan	295.155	298.354	1	0	0	0	525	299.555
02	2	Stim	Act	1	30	301.777	1	0	88	12	88	12	12	88	0.611	r	1	nan	0	nan	nan	302.388	307.789	0	1	0	0	525	309.006
02	2	Stim	Act	1	31	313.616	1	1	42	58	42	58	42	58	0.673	r	0	0	0	0	315.461	315.461	319.839	1	1	0	0	525	321.056
02	2	Stim	Act	1	32	323.133	1	0	98	2	98	2	2	98	1.223	l	1	nan	0	nan	nan	324.357	329.907	1	0	0	0	525	331.107
02	2	Stim	Act	1	33	338.080	0	0	72	28	28	72	28	72	0.943	l	0	0	1	0	340.204	340.204	346.625	1	1	0	0	525	347.841
02	2	Stim	Act	1	34	349.368	0	0	31	69	69	31	69	31	1.156	r	0	1	0	1	351.705	351.706	355.925	0	0	0	0	525	357.142
02	2	Stim	Act	1	35	359.100	0	0	9	91	91	9	91	9	0.859	r	1	nan	0	nan	nan	359.959	363.459	0	0	0	0	525	364.676
02	2	Stim	Act	1	36	370.462	1	0	51	49	51	49	49	51	1.281	l	0	1	1	0	372.927	372.927	377.744	0	1	0	0	525	378.960
02	2	Stim	Act	1	37	380.334	1	0	81	19	81	19	19	81	0.993	l	1	nan	0	nan	nan	381.327	382.477	0	1	0	0	525	383.694
02	2	Stim	Act	1	38	386.508	1	1	65	35	65	35	65	35	1.103	l	1	nan	0	nan	nan	387.611	390.228	1	1	0	0	525	391.428
02	2	Stim	Act	1	39	393.062	0	0	62	38	38	62	38	62	0.732	l	0	0	1	0	394.978	394.978	401.695	0	0	1	62	587	402.896
02	2	Stim	Act	1	40	410.193	0	0	77	23	23	77	23	77	0.770	l	0	0	1	0	412.151	412.151	418.280	1	1	0	0	587	419.480
02	2	Stim	Act	1	41	426.641	0	1	60	40	40	60	60	40	0.872	l	1	nan	0	nan	nan	427.514	430.281	1	0	0	0	587	431.497
02	2	Stim	Act	1	42	438.314	1	1	12	88	12	88	12	88	0.900	r	0	0	0	0	440.389	440.389	441.698	1	1	0	0	587	442.915
02	2	Stim	Act	1	43	449.275	0	0	86	14	14	86	14	86	1.024	l	0	0	1	0	451.487	451.487	458.349	1	1	0	0	587	459.566
02	2	Stim	Stim	2	44	469.607	1	0	16	84	16	84	84	16	1.560	r	1	nan	0	nan	nan	471.167	475.535	0	1	0	0	587	476.751
02	2	Stim	Stim	2	45	480.488	0	1	28	72	72	28	28	72	1.146	r	0	1	0	0	482.827	482.827	488.819	1	0	1	72	659	490.035
02	2	Stim	Stim	2	46	492.169	0	0	40	60	60	40	60	40	0.782	r	1	nan	0	nan	nan	492.952	497.035	0	0	0	0	659	498.252
02	2	Stim	Stim	2	47	500.602	0	1	23	77	77	23	23	77	0.717	r	0	1	0	0	502.503	502.504	506.736	0	1	0	0	659	507.953
02	2	Stim	Stim	2	48	509.483	0	0	26	74	74	26	74	26	0.803	r	1	nan	0	nan	nan	510.287	512.470	0	0	0	0	659	513.687
02	2	Stim	Stim	2	49	521.089	1	0	2	98	2	98	98	2	0.931	l	0	1	1	0	523.130	523.130	528.238	1	0	1	2	661	529.438
02	2	Stim	Stim	2	50	533.905	0	0	35	65	65	35	65	35	0.716	r	1	nan	0	nan	nan	534.622	535.922	0	0	0	0	661	537.138
02	2	Stim	Stim	2	51	539.464	0	1	7	93	93	7	7	93	0.724	r	0	1	0	0	541.388	541.389	544.156	0	1	0	0	661	545.372
02	2	Stim	Stim	2	52	552.510	0	0	69	31	31	69	31	69	0.796	l	0	0	1	0	554.506	554.506	556.240	0	0	1	69	730	557.456
02	2	Stim	Stim	2	53	559.116	0	0	81	19	19	81	19	81	0.740	l	0	0	1	0	561.055	561.056	567.624	1	1	0	0	730	568.841
02	2	Stim	Stim	2	54	572.175	1	0	58	42	58	42	42	58	0.749	r	1	nan	0	nan	nan	572.925	575.391	1	0	0	0	730	576.608
02	2	Stim	Stim	2	55	581.371	0	1	45	55	55	45	45	55	0.671	l	1	nan	0	nan	nan	582.042	587.875	0	1	0	0	730	589.092
02	2	Stim	Stim	2	56	595.367	0	0	49	51	51	49	51	49	0.658	l	0	0	1	0	597.233	597.233	603.660	1	1	0	0	730	604.860
02	2	Stim	Stim	2	57	608.939	0	0	53	47	47	53	47	53	0.637	l	0	0	1	0	610.781	610.781	614.427	0	0	1	53	783	615.628
02	2	Stim	Stim	2	58	621.145	0	1	93	7	7	93	93	7	0.666	l	1	nan	0	nan	nan	621.812	625.595	1	0	0	0	783	626.811
02	2	Stim	Stim	2	59	630.995	1	0	5	95	5	95	95	5	0.683	r	1	nan	0	nan	nan	631.679	635.029	1	0	0	0	783	636.245
02	2	Stim	Stim	2	60	642.815	1	0	23	77	23	77	77	23	0.680	r	1	nan	0	nan	nan	643.496	648.013	1	0	0	0	783	649.214
02	2	Stim	Stim	2	61	651.051	0	0	91	9	9	91	9	91	0.729	l	0	0	1	0	652.993	652.993	659.130	1	1	0	0	783	660.347
02	2	Stim	Stim	2	62	667.098	0	0	9	91	91	9	91	9	0.766	r	1	nan	0	nan	nan	667.865	674.865	1	1	0	0	783	676.066
02	2	Stim	Stim	2	63	682.077	0	1	51	49	49	51	51	49	0.922	l	1	nan	0	nan	nan	682.999	686.499	0	1	0	0	783	687.716
02	2	Stim	Stim	2	64	694.724	0	0	74	26	26	74	26	74	0.859	r	1	nan	0	nan	nan	695.583	697.917	0	0	0	0	783	699.133
02	2	Stim	Stim	2	65	704.953	1	0	62	38	62	38	38	62	1.014	l	0	1	1	0	707.173	707.173	713.884	1	0	1	62	845	715.085
02	2	Stim	Stim	2	66	718.595	0	0	31	69	69	31	69	31	0.773	r	1	nan	0	nan	nan	719.368	722.285	1	1	0	0	845	723.485
02	2	Stim	Stim	2	67	730.789	1	1	35	65	35	65	35	65	0.780	l	1	nan	0	nan	nan	731.570	733.170	0	0	0	0	845	734.386
02	2	Stim	Stim	2	68	740.062	0	1	14	86	86	14	14	86	1.391	r	0	1	0	0	742.661	742.661	747.920	1	0	1	86	931	749.137
02	2	Stim	Stim	2	69	753.838	1	0	88	12	88	12	12	88	0.866	l	0	1	1	0	755.910	755.910	757.355	0	1	0	0	931	758.571
02	2	Stim	Stim	2	70	761.440	1	1	95	5	95	5	95	5	0.798	l	1	nan	0	nan	nan	762.238	767.788	1	1	0	0	931	769.005
02	2	Stim	Stim	2	71	771.318	1	0	79	21	79	21	21	79	0.770	l	0	1	1	0	773.298	773.298	774.306	1	0	1	79	1010	775.522
02	2	Stim	Stim	2	72	780.906	0	0	88	12	12	88	12	88	0.800	l	0	0	1	0	782.918	782.918	789.774	0	0	1	88	1098	790.990
02	2	Stim	Stim	2	73	794.960	0	0	58	42	42	58	42	58	1.114	l	0	0	1	0	797.287	797.287	798.441	0	0	1	58	1156	799.657
02	2	Stim	Stim	2	74	802.685	1	1	28	72	28	72	28	72	0.839	r	0	0	0	0	804.747	804.747	807.358	0	0	1	72	1228	808.575
02	2	Stim	Stim	2	75	813.691	1	0	81	19	81	19	19	81	0.851	l	0	1	1	0	815.761	815.762	820.576	0	1	0	0	1228	821.792
02	2	Stim	Stim	2	76	826.191	1	1	67	33	67	33	67	33	0.834	l	1	nan	0	nan	nan	827.026	832.426	1	1	0	0	1228	833.643
02	2	Stim	Stim	2	77	840.105	1	0	38	62	38	62	62	38	1.121	r	1	nan	0	nan	nan	841.227	844.428	0	1	0	0	1228	845.644
02	2	Stim	Stim	2	78	847.059	0	1	60	40	40	60	60	40	0.735	l	1	nan	0	nan	nan	847.795	854.078	1	0	0	0	1228	855.295
02	2	Stim	Stim	2	79	861.457	0	0	55	45	45	55	45	55	1.171	r	1	nan	0	nan	nan	862.629	867.596	0	0	0	0	1228	868.812
02	2	Stim	Stim	2	80	875.713	0	0	86	14	14	86	14	86	0.717	l	0	0	1	0	877.644	877.644	881.580	1	1	0	0	1228	882.797
02	2	Stim	Stim	2	81	886.014	1	0	53	47	53	47	47	53	1.199	l	0	1	1	0	888.422	888.423	890.314	1	0	1	53	1281	891.531
02	2	Stim	Stim	2	82	893.553	0	1	16	84	84	16	16	84	0.877	r	0	1	0	0	895.660	895.661	898.715	0	1	0	0	1281	899.931
02	2	Stim	Stim	2	83	902.704	1	0	21	79	21	79	79	21	0.827	r	1	nan	0	nan	nan	903.532	909.215	1	0	0	0	1281	910.432
02	2	Stim	Stim	2	84	915.719	0	1	2	98	98	2	2	98	0.747	r	0	1	0	0	917.697	917.698	922.366	0	1	0	0	1281	923.566
02	2	Stim	Stim	2	85	927.230	1	0	33	67	33	67	67	33	0.869	r	1	nan	0	nan	nan	928.100	930.133	0	1	0	0	1281	931.350


