session,run,stimActFirst,block,stimActBlock,trialNumber,stimOnset,yellowOnLeftSide,leftCanBePushed                ,winAmtLeft,winAmtRight,winAmtYellow,winAmtBlue,winAmtPushable,winAmtPullable,RT,actUsrResp                ,invalResp,yellowChosen,leftChosen,pushed,endOfMoveTime,decFBjitOnset                ,FBOnset,yellowCorrect,pushCorrect,correctChoice,wonAmount                ,totalAmount,ITIOnset
1,2,Act,Stim,1,2,0.038,1,0,93,7,93,7,7,93,2.139,l,0,1,1,0,3.344,3.344,4.64,0,1,0,0,0,5.84
1,2,Act,Stim,1,3,10.866,1,1,67,33,67,33,67,33,1.424,l,0,1,1,1,13.453,13.453,16.357,1,1,1,67,67,17.558
1,2,Act,Stim,1,4,20.682,1,1,95,5,95,5,95,5,1.201,l,0,1,1,1,23.018,23.018,28.849,0,0,0,0,67,30.056
1,2,Act,Stim,1,5,31.867,0,0,91,9,9,91,9,91,1.125,l,0,0,1,0,34.072,34.072,40.634,0,0,1,91,158,41.844
1,2,Act,Stim,1,6,48.876,1,0,2,98,2,98,98,2,1.239,r,0,0,0,1,51.21,51.211,58.069,0,1,1,98,256,59.273
1,2,Act,Stim,1,7,66.64,0,1,26,74,74,26,26,74,1.717,r,0,1,0,0,69.446,69.446,72.795,0,1,0,0,256,74.001
1,2,Act,Stim,1,8,81.148,0,1,28,72,72,28,28,72,1.571,r,0,1,0,0,83.81,83.81,87.304,0,1,0,0,256,88.509
1,2,Act,Stim,1,9,91.043,1,0,98,2,98,2,2,98,1.643,l,0,1,1,0,93.78,93.78,99.038,0,1,0,0,256,100.239
1,2,Act,Stim,1,10,106.528,0,1,21,79,79,21,21,79,1.36,l,0,0,1,1,108.999,108.999,110.004,1,0,0,0,256,111.205
1,2,Act,Stim,1,11,112.512,1,0,47,53,47,53,53,47,1.197,r,0,0,0,1,114.812,114.812,116.841,1,0,0,0,256,118.044
1,2,Act,Stim,1,12,120.402,0,0,60,40,40,60,40,60,1.114,l,0,0,1,0,122.617,122.618,127.574,0,0,1,60,316,128.778
1,2,Act,Stim,1,13,135.195,0,0,47,53,53,47,53,47,0.98,l,0,0,1,0,137.288,137.288,141.367,1,1,0,0,316,142.576
1,2,Act,Stim,1,14,144.084,1,0,19,81,19,81,81,19,0.975,r,0,0,0,1,146.159,146.16,151.847,1,0,0,0,316,153.05
