session	run	stimActFirst	block	stimActBlock	trialNumber	stimOnset	yellowOnLeftSide	leftCanBePushed                	winAmtLeft	winAmtRight	winAmtYellow	winAmtBlue	winAmtPushable	winAmtPullable	RT	actUsrResp                	invalResp	yellowChosen	leftChosen	pushed	endOfMoveTime	decFBjitOnset                	FBOnset	yellowCorrect	pushCorrect	correctChoice	wonAmount                	totalAmount	ITIOnset
01	2	Act	Stim	1	2	0.037	0	1	7	93	93	7	7	93	1.777	r	0	1	0	0	2.962	2.963	4.264	0	1	0	0	0	5.480
01	2	Act	Stim	1	3	10.399	0	0	33	67	67	33	67	33	1.098	l	0	0	1	0	12.535	12.536	15.448	1	1	0	0	0	16.648
01	2	Act	Stim	1	4	19.676	1	0	95	5	95	5	5	95	nan	nan	nan	nan	nan	nan	nan	22.682	28.515	0	1	nan	0	0	29.732
01	2	Act	Stim	1	5	31.463	0	0	91	9	9	91	9	91	2.019	l	0	0	1	0	34.574	34.574	41.150	0	0	1	91	91	42.366
01	2	Act	Stim	1	6	49.234	0	0	98	2	2	98	2	98	nan	nan	nan	nan	nan	nan	nan	52.250	59.118	0	0	nan	0	91	60.334
01	2	Act	Stim	1	7	67.547	0	1	26	74	74	26	26	74	nan	nan	nan	nan	nan	nan	nan	70.552	73.902	0	1	nan	0	91	75.102
01	2	Act	Stim	1	8	82.142	1	0	72	28	72	28	28	72	1.160	r	0	0	0	1	84.418	84.418	87.919	0	1	1	28	119	89.136
01	2	Act	Stim	1	9	91.590	0	0	2	98	98	2	98	2	nan	nan	nan	nan	nan	nan	nan	94.603	99.854	0	0	nan	0	119	101.071
01	2	Act	Stim	1	10	107.230	0	1	21	79	79	21	21	79	1.390	l	0	0	1	1	109.675	109.675	110.688	1	0	0	0	119	111.888
01	2	Act	Stim	1	11	113.163	0	0	53	47	47	53	47	53	nan	nan	nan	nan	nan	nan	nan	116.172	118.205	1	1	nan	0	119	119.422
01	2	Act	Stim	1	12	121.738	1	1	40	60	40	60	40	60	1.234	l	0	1	1	1	124.027	124.027	128.989	0	0	0	0	119	130.206
01	2	Act	Stim	1	13	136.520	0	1	47	53	53	47	47	53	2.020	l	0	0	1	1	139.601	139.602	143.690	1	0	0	0	119	144.890
01	2	Act	Stim	1	14	146.332	0	1	81	19	19	81	81	19	2.342	l	0	0	1	1	149.730	149.730	155.424	1	0	0	0	119	156.641
01	2	Act	Stim	1	15	162.221	0	1	95	5	5	95	95	5	2.271	l	0	0	1	1	165.556	165.556	168.025	0	1	1	95	214	169.242
01	2	Act	Stim	1	16	174.367	1	0	35	65	35	65	65	35	1.408	r	0	0	0	1	176.845	176.845	181.510	1	0	0	0	214	182.726
01	2	Act	Stim	1	17	187.279	0	1	69	31	31	69	69	31	2.381	r	0	1	0	0	190.725	190.725	195.094	1	0	1	31	245	196.294
01	2	Act	Stim	1	18	200.269	0	1	86	14	14	86	86	14	1.976	l	0	0	1	1	203.316	203.316	207.111	1	0	0	0	245	208.328
01	2	Act	Stim	1	19	210.232	0	0	9	91	91	9	91	9	nan	nan	nan	nan	nan	nan	nan	213.245	217.762	1	1	nan	0	245	218.979
01	2	Act	Stim	1	20	222.647	0	1	79	21	21	79	79	21	1.748	r	0	1	0	0	225.461	225.462	227.780	1	0	1	21	266	228.996
01	2	Act	Stim	1	21	235.003	1	0	28	72	28	72	72	28	2.277	l	0	1	1	0	238.345	238.346	241.981	0	1	0	0	266	243.197
01	2	Act	Stim	1	22	249.953	0	0	40	60	60	40	60	40	1.744	r	0	1	0	1	252.773	252.773	253.931	0	0	0	0	266	255.148
01	2	Act	Stim	1	23	257.322	0	0	49	51	51	49	51	49	2.043	l	0	0	1	0	260.434	260.435	267.449	1	1	0	0	266	268.649
01	2	Act	Stim	1	24	274.409	1	1	84	16	84	16	84	16	1.424	l	0	1	1	1	276.910	276.910	283.334	0	0	0	0	266	284.550
01	2	Act	Stim	1	25	287.346	1	0	23	77	23	77	77	23	nan	nan	nan	nan	nan	nan	nan	290.351	292.967	1	0	nan	0	266	294.184
01	2	Act	Stim	1	26	297.693	1	0	42	58	42	58	58	42	1.508	r	0	0	0	1	300.289	300.289	305.101	1	0	0	0	266	306.318
01	2	Act	Stim	1	27	312.955	0	0	51	49	49	51	49	51	1.514	r	0	1	0	1	315.560	315.560	317.736	1	1	1	49	315	318.952
01	2	Act	Stim	1	28	324.252	0	1	14	86	86	14	14	86	1.484	r	0	1	0	0	326.816	326.816	331.920	0	1	0	0	315	333.137
01	2	Act	Stim	1	29	335.797	1	1	45	55	45	55	45	55	nan	nan	nan	nan	nan	nan	nan	338.804	340.538	1	1	nan	0	315	341.754
01	2	Act	Stim	1	30	346.003	0	0	67	33	33	67	33	67	1.951	l	0	0	1	0	349.037	349.037	350.638	0	0	1	67	382	351.838
