session	run	stimActFirst	block	stimActBlock	trialNumber	stimOnset	yellowOnLeftSide	leftCanBePushed                	winAmtLeft	winAmtRight	winAmtYellow	winAmtBlue	winAmtPushable	winAmtPullable	RT	actUsrResp                	invalResp	yellowChosen	leftChosen	pushed	endOfMoveTime	decFBjitOnset                	FBOnset	yellowCorrect	pushCorrect	correctChoice	wonAmount                	totalAmount	ITIOnset
02	1	Stim	Stim	1	2	0.036	0	0	18	82	82	18	82	18	nan	nan	nan	nan	nan	nan	nan	3.040	7.274	0	0	nan	0	0	8.491
02	1	Stim	Stim	1	3	10.476	0	0	78	22	22	78	22	78	1.598	l	0	0	1	0	13.176	13.177	17.691	0	0	1	78	78	18.908
02	1	Stim	Stim	1	4	21.497	0	1	27	73	73	27	27	73	1.077	r	0	1	0	0	23.612	23.612	26.959	1	0	1	73	151	28.175
02	1	Stim	Stim	1	5	29.580	0	1	71	29	29	71	71	29	1.529	l	0	0	1	1	32.284	32.285	35.926	0	1	1	71	222	37.143
02	1	Stim	Stim	1	6	42.838	0	1	1	99	99	1	1	99	1.204	r	0	1	0	0	45.074	45.074	47.693	0	1	0	0	222	48.894
02	1	Stim	Stim	1	7	52.219	1	0	39	61	39	61	61	39	1.408	r	0	0	0	1	54.675	54.675	57.144	0	1	1	61	283	58.361
02	1	Stim	Stim	1	8	62.878	0	0	73	27	27	73	27	73	1.284	l	0	0	1	0	65.205	65.205	66.945	1	1	0	0	283	68.162
02	1	Stim	Stim	1	9	73.416	1	1	3	97	3	97	3	97	1.296	r	0	0	0	0	75.759	75.760	79.696	0	0	1	97	380	80.913
02	1	Stim	Stim	1	10	86.904	0	1	8	92	92	8	8	92	1.159	r	0	1	0	0	89.109	89.109	95.830	0	1	0	0	380	97.047
02	1	Stim	Stim	1	11	102.035	1	0	61	39	61	39	39	61	1.246	l	0	1	1	0	104.329	104.330	107.248	0	1	0	0	380	108.465
02	1	Stim	Stim	1	12	114.907	1	1	54	46	54	46	54	46	1.957	l	0	1	1	1	117.921	117.921	122.732	0	0	0	0	380	123.949
02	1	Stim	Stim	1	13	127.761	1	0	85	15	85	15	15	85	1.355	l	0	1	1	0	130.170	130.170	132.933	0	1	0	0	380	134.150
02	1	Stim	Stim	1	14	140.886	1	1	75	25	75	25	75	25	1.381	l	0	1	1	1	143.329	143.329	148.001	1	1	1	75	455	149.218
02	1	Stim	Stim	1	15	151.560	0	0	68	32	32	68	32	68	1.474	l	0	0	1	0	154.095	154.095	160.518	1	1	0	0	455	161.718
02	1	Stim	Stim	1	16	163.617	1	0	44	56	44	56	56	44	1.602	r	0	0	0	1	166.282	166.282	172.269	1	0	0	0	455	173.469
02	1	Stim	Stim	1	17	178.315	1	0	94	6	94	6	6	94	0.954	l	0	1	1	0	180.333	180.333	181.920	0	1	0	0	455	183.120
02	1	Stim	Stim	1	18	188.229	0	0	80	20	20	80	20	80	1.558	l	0	0	1	0	190.854	190.854	192.154	0	0	1	80	535	193.354
02	1	Stim	Stim	1	19	199.495	0	0	99	1	1	99	1	99	1.260	l	0	0	1	0	201.811	201.811	208.389	0	0	1	99	634	209.605
