session	run	stimActFirst	block	stimActBlock	trialNumber	stimOnset	yellowOnLeftSide	leftCanBePushed                	winAmtLeft	winAmtRight	winAmtYellow	winAmtBlue	winAmtPushable	winAmtPullable	RT	actUsrResp                	invalResp	yellowChosen	leftChosen	pushed	endOfMoveTime	decFBjitOnset                	FBOnset	yellowCorrect	pushCorrect	correctChoice	wonAmount                	totalAmount	ITIOnset
02	2	Stim	Act	1	2	0.038	1	1	77	23	77	23	77	23	2.531	l	0	1	1	1	3.676	3.676	7.019	1	1	1	77	77	8.236
02	2	Stim	Act	1	3	11.699	1	1	19	81	19	81	19	81	nan	nan	nan	nan	nan	nan	nan	14.703	20.537	1	1	nan	0	77	21.754
02	2	Stim	Act	1	4	26.729	1	0	31	69	31	69	69	31	1.358	r	0	0	0	1	29.127	29.127	31.604	0	1	1	69	146	32.805
02	2	Stim	Act	1	5	36.733	0	1	47	53	53	47	47	53	0.922	l	0	0	1	1	38.767	38.768	42.555	0	1	1	47	193	43.755
02	2	Stim	Act	1	6	46.364	0	0	84	16	16	84	16	84	1.292	r	0	1	0	1	48.705	48.706	53.373	0	0	0	0	193	54.589
02	2	Stim	Act	1	7	57.494	0	1	95	5	5	95	95	5	1.213	r	0	1	0	0	59.743	59.744	65.440	0	1	0	0	193	66.640
02	2	Stim	Act	1	8	71.032	0	0	55	45	45	55	45	55	2.359	l	0	0	1	0	74.427	74.427	76.608	1	1	0	0	193	77.824
02	2	Stim	Act	1	9	85.141	1	1	21	79	21	79	21	79	2.000	l	0	1	1	1	88.194	88.194	89.792	0	0	0	0	193	91.009
02	2	Stim	Act	1	10	95.077	0	1	21	79	79	21	21	79	1.749	r	0	1	0	0	97.876	97.876	103.126	0	1	0	0	193	104.343
02	2	Stim	Act	1	11	106.082	0	0	91	9	9	91	9	91	2.311	r	0	1	0	1	109.375	109.375	113.461	0	0	0	0	193	114.677
02	2	Stim	Act	1	12	119.811	0	1	16	84	84	16	16	84	1.233	r	0	1	0	0	122.099	122.099	124.128	0	1	0	0	193	125.345
02	2	Stim	Act	1	13	130.613	0	0	40	60	60	40	60	40	1.582	l	0	0	1	0	133.252	133.253	134.995	0	0	1	40	233	136.196
02	2	Stim	Act	1	14	139.984	1	0	93	7	93	7	7	93	1.495	l	0	1	1	0	142.535	142.535	149.097	1	0	1	93	326	150.313
02	2	Stim	Act	1	15	156.489	0	1	5	95	95	5	5	95	2.175	r	0	1	0	0	159.730	159.730	163.664	0	1	0	0	326	164.881
02	2	Stim	Act	1	16	171.348	0	0	42	58	58	42	58	42	1.900	l	0	0	1	0	174.307	174.308	176.199	0	0	1	42	368	177.415
02	2	Stim	Act	1	17	180.755	0	0	93	7	7	93	7	93	2.177	l	0	0	1	0	183.993	183.993	187.049	1	1	0	0	368	188.266
02	2	Stim	Act	1	18	194.876	0	1	53	47	47	53	53	47	1.457	r	0	1	0	0	197.400	197.400	202.500	1	0	1	47	415	203.717
02	2	Stim	Act	1	19	209.731	1	0	35	65	35	65	65	35	nan	nan	nan	nan	nan	nan	nan	212.735	219.735	1	0	nan	0	415	220.952
02	2	Stim	Act	1	20	224.048	0	1	51	49	49	51	51	49	2.637	r	0	1	0	0	227.754	227.754	230.669	1	0	1	49	464	231.886
02	2	Stim	Act	1	21	234.363	0	0	98	2	2	98	2	98	nan	nan	nan	nan	nan	nan	nan	237.370	239.703	1	1	nan	0	464	240.920
