session	run	stimActFirst	block	stimActBlock	trialNumber	stimOnset	yellowOnLeftSide	leftCanBePushed                	winAmtLeft	winAmtRight	winAmtYellow	winAmtBlue	winAmtPushable	winAmtPullable	RT	actUsrResp                	invalResp	yellowChosen	leftChosen	pushed	endOfMoveTime	decFBjitOnset                	FBOnset	yellowCorrect	pushCorrect	correctChoice	wonAmount                	totalAmount	ITIOnset
02	1	Stim	Stim	1	2	0.035	1	1	82	18	82	18	82	18	2.515	l	0	1	1	1	3.715	3.715	7.935	0	0	0	0	0	9.136
02	1	Stim	Stim	1	3	11.260	1	1	22	78	22	78	22	78	1.752	r	0	0	0	0	14.182	14.183	18.702	0	0	1	78	78	19.910
02	1	Stim	Stim	1	4	22.608	1	1	73	27	73	27	73	27	1.318	l	0	1	1	1	25.074	25.074	28.420	1	1	1	73	151	29.620
02	1	Stim	Stim	1	5	31.106	1	1	29	71	29	71	29	71	2.105	r	0	0	0	0	34.311	34.312	37.952	0	0	1	71	222	39.158
02	1	Stim	Stim	1	6	44.980	0	1	1	99	99	1	1	99	1.565	r	0	1	0	0	47.639	47.639	50.252	0	1	0	0	222	51.455
02	1	Stim	Stim	1	7	54.893	0	1	61	39	39	61	61	39	1.764	l	0	0	1	1	57.772	57.772	60.252	0	1	1	61	283	61.454
02	1	Stim	Stim	1	8	66.071	0	0	73	27	27	73	27	73	1.438	l	0	0	1	0	68.627	68.627	70.362	1	1	0	0	283	71.569
02	1	Stim	Stim	1	9	76.922	1	0	3	97	3	97	97	3	1.179	r	0	0	0	1	79.218	79.218	83.148	0	1	1	97	380	84.352
02	1	Stim	Stim	1	10	90.485	1	0	92	8	92	8	8	92	1.370	l	0	1	1	0	92.982	92.982	99.693	0	1	0	0	380	100.898
02	1	Stim	Stim	1	11	106.030	0	1	39	61	61	39	39	61	2.239	r	0	1	0	0	109.390	109.390	112.296	0	1	0	0	380	113.497
02	1	Stim	Stim	1	12	120.071	0	1	46	54	54	46	46	54	1.275	r	0	1	0	0	122.475	122.476	127.286	0	1	0	0	380	128.492
02	1	Stim	Stim	1	13	132.417	0	0	15	85	85	15	85	15	1.109	r	0	1	0	1	134.659	134.659	137.424	0	0	0	0	380	138.630
02	1	Stim	Stim	1	14	145.459	0	0	25	75	75	25	75	25	1.298	r	0	1	0	1	147.893	147.893	152.552	1	1	1	75	455	153.756
02	1	Stim	Stim	1	15	156.200	0	1	68	32	32	68	68	32	1.411	l	0	0	1	1	158.748	158.748	165.165	1	0	0	0	455	166.369
02	1	Stim	Stim	1	16	168.382	0	1	56	44	44	56	56	44	1.625	r	0	1	0	0	171.142	171.143	177.119	1	0	1	44	499	178.322
02	1	Stim	Stim	1	17	183.306	1	1	94	6	94	6	94	6	1.809	l	0	1	1	1	186.259	186.259	187.852	0	0	0	0	499	189.063
